draw,CXCL8 KO|NEUT,CXCL8 KO|D,IL1B KO|NEUT,IL1B KO|D,TNF KO|NEUT,TNF KO|D,STAT3 KO|NEUT,STAT3 KO|D,JAK2 inhibition|NEUT,JAK2 inhibition|D
291,73.8086622265119,48.81207487619981,100.0,100.0,29.19808608206119,12.245803858561077,6.585603323000077,2.329984652617223,4.845572861053049,1.6939725852122223
292,75.12107472733088,48.426834009261846,100.0,100.0,28.929450808055545,11.23616493874514,7.1399256156212125,2.335255618535337,5.580075874502189,1.8046761227113572
293,78.10865214032287,48.61460162710637,100.0,100.0,24.959423994713028,8.1045991683803,7.910166478130975,2.2268625296083644,5.755749587849868,1.5935680082810322
294,76.92784903723957,49.012771218706554,100.0,100.0,26.735341328088047,9.519189288360842,7.663715170628671,2.336951126973441,5.881135493690303,1.7696269451345947
295,81.39011326264718,54.45072029970388,100.0,100.0,22.766125132379177,7.456263005876584,9.477634503962252,2.7821668575343517,7.0668571995533895,2.036173148017495
296,79.60079235671027,55.76853658104167,100.0,100.0,25.537471655340028,9.975913388061864,10.051611593108756,3.48490843856587,7.607880254283406,2.5916606793802255
297,81.27359352005715,54.008775014757646,100.0,100.0,22.445938156431133,7.262420094465327,7.8402195059035895,2.2500758945438015,5.985032364029785,1.6933546152922418
298,82.86349636138337,65.7299616674836,100.0,100.0,22.081454905657594,10.104864560516347,6.2169136480090925,2.5620412207861265,4.842901066178484,1.978756657488523
299,77.95138957027298,55.55844980488214,100.0,100.0,25.795138011722596,10.946476618601697,5.181647034841674,1.89575360962827,3.91042005597233,1.418604023595016
300,76.18605002685882,47.499284376275654,100.0,100.0,26.74890990458325,9.36026088537264,9.264726047780803,2.8065414580423775,7.309305842857761,2.1814188620361885
301,78.68705976862522,54.845158761113765,100.0,100.0,25.389491735524107,10.067979635114844,7.5704271883602186,2.623832557152994,5.912358389667305,2.025422185454029
302,76.25291848843202,48.565039859878326,100.0,100.0,26.589929159368907,9.625563326334252,10.255629037359482,3.2510263314344146,7.513031570797002,2.332929781782267
303,79.96873370633138,56.88408481677569,100.0,100.0,26.122885274020856,10.462961377335056,11.670831344705668,4.183862307268171,9.157770831165468,3.2241169514442447
304,82.67475602595546,57.981445848859714,100.0,100.0,21.29193330730923,7.255047080060173,5.256329793425296,1.578972742470408,4.211515062220705,1.25543053119328
305,70.81631805593706,45.9215930713584,100.0,100.0,32.86081980520464,14.623139226972304,6.9682288144777615,2.554199839699245,4.993926331389009,1.8062422475406015
306,68.48432797877567,38.775167035148826,100.0,100.0,34.99864090346503,13.563807192102972,5.014848720855369,1.5154170088337082,3.8414444389951896,1.150912799308712
307,74.83712087252749,48.59658065551278,100.0,100.0,28.45287895993952,11.22257763302068,8.916391403715851,3.017849510081305,6.545855171303428,2.1780184101709565
308,75.96185544082907,48.47614580135065,100.0,100.0,27.12079926762606,9.974463474195494,4.616460045336068,1.4205194649956066,3.656440212785006,1.1173254794229148
309,69.76145602762523,42.60559759974358,100.0,100.0,33.99484569111807,14.216170069183566,5.852531188200116,1.960995940614374,4.562006033076349,1.514777756475083
310,86.15621081878695,62.26902124753033,100.0,100.0,17.591063598976554,5.357313829495469,5.562728457545663,1.5379965264924467,4.4300887590127065,1.2143043851123192
